Cluster 0:
-5.453694 0.172546
-6.484722 0.252534
-4.878263 -0.409168
-4.274151 0.428008
-5.424399 -0.469012
-4.513394 -1.061251
-5.232836 -0.441733
-4.951086 0.147789
-4.974248 0.794394
-4.840356 -0.220495
-5.847598 0.505295
-4.630297 1.015567
-5.523218 0.018493
-5.041085 -0.061328
-4.992727 -1.200178
-4.422510 0.457244
-4.208669 1.574702
-5.223277 -0.025300
-4.993152 1.359530
-6.211854 0.340038
-6.029582 -1.807100
-6.414583 -0.967238
-4.251682 -0.607852
-5.159220 -0.814459
-4.572335 -0.771373
-4.077643 -0.695174
-5.535379 0.085919
-4.982702 0.997283
-4.915715 -0.845484
-5.392235 -0.400949
-4.492470 0.268655
-5.083574 0.608725
-5.369947 -0.095364
-4.873468 1.069727
-5.068973 -0.245559
-5.732086 0.480237
-5.411352 0.240580
-6.331127 0.730231
-5.932356 -0.544140
-4.258993 -0.934130
-5.055619 0.051979
-5.698990 0.940053
-3.950855 -1.380132
-6.014293 0.565763
-5.912117 -0.272046
-4.909314 0.484295
-5.156277 0.066655
-5.543713 0.904653
-5.346720 0.237813
-5.358147 0.074426
-5.117714 -0.113725
-5.709647 0.557489
-4.010170 0.170204
-4.487365 0.586648
-4.350410 0.212350
-4.851420 0.604805
-4.951817 -0.681743
-4.983306 -1.321891
-5.004130 0.289361
-4.134813 0.105894
-4.350302 -0.000376
-5.716433 -0.987966
-5.678814 -0.956303
-4.556405 -0.145330
-4.600780 0.051402
-4.269165 0.742135
-5.451737 -0.192021
-5.372980 -1.134918
-4.527348 0.832156
-5.004500 -0.345235
-4.236366 -1.641474
-4.875767 0.100299
-5.399600 0.974102
-4.320485 -0.182810
-5.060687 -0.271617
-5.358484 -0.915740
-4.034036 0.719600
-4.441284 -0.766035
-3.543408 1.386116
-4.868360 -0.632954
-5.606501 0.292984
-5.639110 -0.023948
-4.237949 -1.054777
-3.595990 1.096696
-5.865960 -0.989549
-5.198395 -0.721800
-5.184605 -1.806830
-5.160091 1.262000
-5.781616 -0.191148
-6.042726 0.446766
-5.157723 1.358513
-4.855212 -0.260526
-4.614809 -0.354360
-5.937516 0.211363
-5.122408 0.116421
-4.737180 -0.357224
-4.704897 1.216388
-5.775460 1.216198
-5.169962 -0.536639
-3.300946 0.108515

Cluster 1:
0.959282 -4.427684
-1.176416 -4.915426
-0.367724 -5.939255
-1.240198 -4.928397
0.413177 -4.726532
-0.214080 -5.558962
-0.690803 -5.388612
-0.723139 -5.142292
-0.016021 -5.627192
-0.162435 -5.532224
-0.003131 -4.645039
0.124688 -4.669494
-1.156410 -5.265088
0.193718 -4.551186
-1.118602 -4.888575
0.844494 -5.125027
-0.066331 -4.684680
0.172983 -4.527754
0.050690 -4.893253
-0.547711 -5.119307
0.877185 -5.142919
-0.117995 -5.344052
0.551030 -5.598275
0.637352 -5.655881
-0.740447 -4.855842
0.091126 -4.791710
0.743776 -5.288747
0.310096 -5.636872
0.881418 -4.557279
0.375563 -4.868485
-0.549920 -5.229160
0.351246 -5.013429
0.086621 -5.951874
0.126766 -5.484349
-0.758336 -5.108280
-1.299553 -4.511001
0.596409 -5.037405
-0.695648 -5.661758
-0.105786 -6.696614
0.126334 -4.534898
-0.218326 -5.346082
0.127377 -4.754549
0.765906 -4.987122
-0.482830 -5.322886
0.127362 -3.910660
-0.224191 -5.736769
-0.609075 -6.467434
0.230856 -5.952927
-0.863457 -6.383210
-0.782592 -4.602110
-0.917948 -6.224750
0.124784 -5.238820
0.302533 -4.481608
-0.005949 -5.908433
-0.086660 -4.649818
-0.408092 -6.006223
0.771828 -5.290673
-0.286461 -4.988826
0.721331 -4.815466
-0.233258 -4.522507
1.502917 -4.028550
0.471010 -5.785596
2.626441 -5.839060
-0.260262 -5.489922
1.138824 -4.705832
-0.998987 -4.812689
0.382834 -5.222938
-0.854133 -5.507523
-0.305794 -4.984088
-0.363937 -4.485346
-0.664963 -6.211971
-0.517575 -4.055777
-0.401209 -3.361434
0.344039 -5.815098
-0.584000 -4.829639
-0.824351 -3.337795
-0.693624 -4.523340
1.022091 -5.076440
-0.697103 -5.191146
0.253551 -4.386974
0.039702 -5.980156
0.029627 -5.471351
-1.528265 -5.488292
-1.002715 -4.589202
1.360915 -3.698872
-0.401246 -5.327176
0.482147 -4.257100
-0.293117 -5.099845
1.544851 -5.075216
-0.339725 -4.916060
0.405792 -5.715149
-0.173882 -5.816452
-0.194784 -3.686153
0.519206 -5.064780
-0.653178 -5.217986
0.735513 -5.393181
1.015294 -5.961545
-0.203032 -3.780065
-1.405487 -4.168111
-1.295964 -5.063056

Cluster 2:
4.899137 -0.121033
4.922079 0.491389
4.910688 -1.048147
5.232623 -0.187136
4.848129 0.081119
5.162608 0.814491
5.459646 0.077355
4.483175 -0.710264
5.172440 0.917757
5.029160 -0.074426
5.372243 -1.017482
4.781406 0.343254
5.611383 -0.168441
5.263620 0.173749
5.547629 -0.779256
5.397775 -1.060164
3.166038 -0.424824
4.358933 0.613209
5.464986 -0.853352
5.593153 -0.701542
4.939629 -0.205730
5.080094 0.573045
5.446890 0.244920
5.454964 0.334944
4.561110 -0.502160
4.671022 0.349528
4.824919 1.635028
4.426495 -0.769212
5.537931 0.995295
5.353985 0.585072
5.998441 -0.065819
4.003929 -0.372454
5.667027 -1.010575
5.023472 0.177266
4.779085 0.506542
5.406546 1.624986
5.433977 -0.426582
4.606742 -0.582107
5.666591 -0.396783
4.950817 0.524512
4.493576 -0.205561
3.711100 -0.757735
4.602585 0.291033
5.835445 -0.012927
5.182955 0.117579
5.759319 0.625349
5.191585 -0.707661
5.632370 0.266733
5.858859 -0.020935
6.367171 -0.251213
6.115142 0.080583
4.638612 -0.789914
4.894279 0.996325
5.571462 0.482219
3.336889 0.497675
5.389097 -0.384948
4.560831 -0.001617
6.207413 -0.738570
4.700536 0.953249
4.687694 -0.254976
5.068443 -0.868903
5.153962 -0.846732
5.619639 0.002227
6.598402 0.196588
5.955983 -0.912285
4.914502 0.226202
6.222005 -1.176641
5.693434 0.413948
6.073482 0.498670
5.036450 -0.365155
4.126274 0.136796
4.865812 1.414187
4.572283 0.224274
3.901699 -0.276824
5.182804 0.576772
6.013671 -0.030904
4.217929 0.320495
5.361891 0.344161
4.509799 0.793369
5.061527 0.489877
5.891851 0.426491
5.200561 1.506957
